event_id,layout_verified,verification_level,ds_path,ds_file_exists,ds_sha256,ds_dataset_path,ds_dataset_exists,ds_dataset_shape,ds_n_samples,ds_required_fields,ds_missing_fields,ds_dtype_fields,ds_error,kerr_path,kerr_file_exists,kerr_sha256,kerr_dataset_path,kerr_dataset_exists,kerr_dataset_shape,kerr_n_samples,kerr_required_fields,kerr_missing_fields,kerr_dtype_fields,kerr_error
S170104,True,hdf5_structured_dataset_verified,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S170104_pyring_DS_1mode_10M.h5,True,552a79a8850de2e6cdbc19ae253716339a00179f7fb750a6b34e05a173a200e1,GWTC3_rerun_PROD1/posterior_samples,True,"(69012,)",69012,f_t_0;tau_t_0,,psi;logA_t_0;f_t_0;tau_t_0;phi_t_0;log_likelihood;a_1;spin_1z;a_2;spin_2z,,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S170104_pyring_Kerr_220_0M.h5,True,caccfed13cd21e36a0260c5cfc54e4d073bef67d90b921a21db03fd7f29c18a0,GWTC3_rerun_PROD1/posterior_samples,True,"(71014,)",71014,Mf;final_spin,,psi;Mf;final_spin;cos_iota;A2220_1;A2220_2;phi2220_1;phi2220_2;log_likelihood;iota;a_1;spin_1z;a_2;spin_2z,
S170814,True,hdf5_structured_dataset_verified,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S170814_pyring_DS_1mode_10M.h5,True,0db4d7cd1bb39abf09659e2f2edd6bbf4c2577d15bfb879d6f9ea9e7ae7ef2d9,GWTC3_rerun_PROD1/posterior_samples,True,"(100948,)",100948,f_t_0;tau_t_0,,psi;logA_t_0;f_t_0;tau_t_0;phi_t_0;log_likelihood;a_1;spin_1z;a_2;spin_2z,,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S170814_pyring_Kerr_220_0M.h5,True,5449c492a8efdebd51248287f3768d0b976022284da11c9909889ff7320e129d,GWTC3_rerun_PROD1/posterior_samples,True,"(52275,)",52275,Mf;final_spin,,psi;Mf;final_spin;cos_iota;A2220_1;A2220_2;phi2220_1;phi2220_2;log_likelihood;iota;a_1;spin_1z;a_2;spin_2z,
S170823,True,hdf5_structured_dataset_verified,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S170823_pyring_DS_1mode_10M.h5,True,678e05465bae5c82fc6b810233b81180bfb50768efb8894d5ee43a303b5522ef,GWTC3_rerun_PROD1/posterior_samples,True,"(91657,)",91657,f_t_0;tau_t_0,,psi;logA_t_0;f_t_0;tau_t_0;phi_t_0;log_likelihood;a_1;spin_1z;a_2;spin_2z,,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S170823_pyring_Kerr_220_0M.h5,True,5ebec1b0732cdf6c06c9ac566bf23b4f9f627220209a165def57747ad74638f9,GWTC3_rerun_PROD1/posterior_samples,True,"(61082,)",61082,Mf;final_spin,,psi;Mf;final_spin;cos_iota;A2220_1;A2220_2;phi2220_1;phi2220_2;log_likelihood;iota;a_1;spin_1z;a_2;spin_2z,
S190408an,True,hdf5_structured_dataset_verified,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190408an_pyring_DS_1mode_10M.h5,True,e2fb96f0a9585965243ca2d6d07808541847687048ecd50d0d407ba655436d81,GWTC3_rerun_PROD1/posterior_samples,True,"(64930,)",64930,f_t_0;tau_t_0,,psi;logA_t_0;f_t_0;tau_t_0;phi_t_0;log_likelihood;a_1;spin_1z;a_2;spin_2z,,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190408an_pyring_Kerr_220_0M.h5,True,dac448d2aaecccbcdafa4e71a49febd8e25c69e997e34e6aaafc7b3e2eea7de9,GWTC3_rerun_PROD1/posterior_samples,True,"(58366,)",58366,Mf;final_spin,,psi;Mf;final_spin;cos_iota;A2220_1;A2220_2;phi2220_1;phi2220_2;log_likelihood;iota;a_1;spin_1z;a_2;spin_2z,
S190512at,True,hdf5_structured_dataset_verified,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190512at_pyring_DS_1mode_10M.h5,True,beed6554b7383b4ed8e7cf22aa017f96e941f6fa24beeeba23cb05d6d6040d25,GWTC3_rerun_PROD1/posterior_samples,True,"(82962,)",82962,f_t_0;tau_t_0,,psi;logA_t_0;f_t_0;tau_t_0;phi_t_0;log_likelihood;a_1;spin_1z;a_2;spin_2z,,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190512at_pyring_Kerr_220_0M.h5,True,7203ecec816458f7b53c84b11b0473bfd05a497463d73b65356d8efe06377b95,GWTC3_rerun_PROD1/posterior_samples,True,"(95946,)",95946,Mf;final_spin,,psi;Mf;final_spin;cos_iota;A2220_1;A2220_2;phi2220_1;phi2220_2;log_likelihood;iota;a_1;spin_1z;a_2;spin_2z,
S190513bm,True,hdf5_structured_dataset_verified,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190513bm_pyring_DS_1mode_10M.h5,True,c8168823c3a73b6fe2538420f5972f36eb77cd3c8350a974ffac439fdc3f2628,GWTC3_rerun_PROD1/posterior_samples,True,"(76993,)",76993,f_t_0;tau_t_0,,psi;logA_t_0;f_t_0;tau_t_0;phi_t_0;log_likelihood;a_1;spin_1z;a_2;spin_2z,,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190513bm_pyring_Kerr_220_0M.h5,True,f8bd51ec88e00967d393b699e79779774f16d54d10769bb4ffa8103569d7b521,GWTC3_rerun_PROD1/posterior_samples,True,"(74642,)",74642,Mf;final_spin,,psi;Mf;final_spin;cos_iota;A2220_1;A2220_2;phi2220_1;phi2220_2;log_likelihood;iota;a_1;spin_1z;a_2;spin_2z,
S190519bj,True,hdf5_structured_dataset_verified,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190519bj_pyring_DS_1mode_10M.h5,True,9a286be373c2132231c815fa3054aa7fb71ad2f28ac2245ef878bcaf05c29050,GWTC3_rerun_PROD1/posterior_samples,True,"(66389,)",66389,f_t_0;tau_t_0,,psi;logA_t_0;f_t_0;tau_t_0;phi_t_0;log_likelihood;a_1;spin_1z;a_2;spin_2z,,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190519bj_pyring_Kerr_220_0M.h5,True,6f9d603e8f8e800cbb3907ad3ec454a3f44d66d75f5aa8f1a1c82f8a8b0c8190,GWTC3_rerun_PROD1/posterior_samples,True,"(72955,)",72955,Mf;final_spin,,psi;Mf;final_spin;cos_iota;A2220_1;A2220_2;phi2220_1;phi2220_2;log_likelihood;iota;a_1;spin_1z;a_2;spin_2z,
S190521g,True,hdf5_structured_dataset_verified,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190521g_pyring_DS_1mode_10M.h5,True,f38f5ddbf401b5823d8c8289f84e4ac251a2ca6a5f623b70da0ba6852aebffdb,GWTC3_rerun_PROD1/posterior_samples,True,"(59966,)",59966,f_t_0;tau_t_0,,psi;logA_t_0;f_t_0;tau_t_0;phi_t_0;log_likelihood;a_1;spin_1z;a_2;spin_2z,,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190521g_pyring_Kerr_220_0M.h5,True,65af741063517837e762f2b6a2beb91773d4ccbf957fea1dbd33fbc9880f5fb0,GWTC3_rerun_PROD1/posterior_samples,True,"(64861,)",64861,Mf;final_spin,,psi;Mf;final_spin;cos_iota;A2220_1;A2220_2;phi2220_1;phi2220_2;log_likelihood;iota;a_1;spin_1z;a_2;spin_2z,
S190602aq,True,hdf5_structured_dataset_verified,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190602aq_pyring_DS_1mode_10M.h5,True,3ec59b8b462025e006b67fbeff74772e50da8e79e4926abbb5b737262a446447,GWTC3_rerun_PROD1/posterior_samples,True,"(66773,)",66773,f_t_0;tau_t_0,,psi;logA_t_0;f_t_0;tau_t_0;phi_t_0;log_likelihood;a_1;spin_1z;a_2;spin_2z,,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190602aq_pyring_Kerr_220_0M.h5,True,fccd82dda752b947572a2b0057df05035ace6466c25c72152e83913c8866c5f4,GWTC3_rerun_PROD1/posterior_samples,True,"(69258,)",69258,Mf;final_spin,,psi;Mf;final_spin;cos_iota;A2220_1;A2220_2;phi2220_1;phi2220_2;log_likelihood;iota;a_1;spin_1z;a_2;spin_2z,
S190706ai,True,hdf5_structured_dataset_verified,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190706ai_pyring_DS_1mode_10M.h5,True,4e0a8d434a9b663901c2873c0a38dbefb84171eccd15aa63212f7be85951cd27,GWTC3_rerun_PROD1/posterior_samples,True,"(59749,)",59749,f_t_0;tau_t_0,,psi;logA_t_0;f_t_0;tau_t_0;phi_t_0;log_likelihood;a_1;spin_1z;a_2;spin_2z,,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190706ai_pyring_Kerr_220_0M.h5,True,35509472fef0709ad640de65ae21ad00f2731aadd897a57cec8d09460facd448,GWTC3_rerun_PROD1/posterior_samples,True,"(87132,)",87132,Mf;final_spin,,psi;Mf;final_spin;cos_iota;A2220_1;A2220_2;phi2220_1;phi2220_2;log_likelihood;iota;a_1;spin_1z;a_2;spin_2z,
