event_id,claim_level,cohort_role,residual_type,jointness,no_joint_residual,no_population_claim,formula,seed,n_draw,ds_n_samples,kerr_n_samples,f_obs_q05_hz,f_obs_q50_hz,f_obs_q95_hz,tau_q05_s,tau_q50_s,tau_q95_s,Mf_q05_msun,Mf_q50_msun,Mf_q95_msun,chi_q05,chi_q50,chi_q95,f_kerr_q05_hz,f_kerr_q50_hz,f_kerr_q95_hz,residual_q05_hz,residual_q50_hz,residual_q95_hz,p_residual_gt_0,ds_path,kerr_path
S170104,exploratory_only,expansion_after_smoke,residual_220_unpaired_composition,unpaired_same_event,True,True,Momega_R=1.5251-1.1568*(1-chi)^0.1292; f_Hz=32314*Momega_R/Mf,42,50000,69012,71014,126.37569931604185,219.0709814792043,297.7304734781673,0.0008929156637486344,0.002421215277755848,0.017360344245124552,52.27053135231673,70.2753224454529,88.17899838611145,0.22257621119710785,0.7511148123148093,0.9465119161049542,227.9661639782718,259.8585709339483,286.47418682503275,-135.62653924730645,-38.82671601702506,46.793622915393755,0.23308,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S170104_pyring_DS_1mode_10M.h5,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S170104_pyring_Kerr_220_0M.h5
S170814,exploratory_only,expansion_after_smoke,residual_220_unpaired_composition,unpaired_same_event,True,True,Momega_R=1.5251-1.1568*(1-chi)^0.1292; f_Hz=32314*Momega_R/Mf,42,50000,100948,52275,194.90574310901525,525.4491681067102,855.6970761078549,0.005488652948270157,0.02487146455057429,0.04735626946000838,48.31634127866645,61.618965929091004,84.2102796533123,0.06934269215673843,0.5433703927925071,0.9341156196906414,219.84592982591377,255.42317304677766,295.7816226905819,-94.36497201270146,247.04647775081082,585.928436157021,0.7205,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S170814_pyring_DS_1mode_10M.h5,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S170814_pyring_Kerr_220_0M.h5
S170823,exploratory_only,expansion_after_smoke,residual_220_unpaired_composition,unpaired_same_event,True,True,Momega_R=1.5251-1.1568*(1-chi)^0.1292; f_Hz=32314*Momega_R/Mf,42,50000,91657,61082,162.72188525282647,215.2569095345097,776.1464206328535,0.0027479141662687724,0.008407658335671713,0.042635108401205185,75.8397748355498,99.15183037069669,123.32395600953807,0.16269278204357054,0.6953704173152221,0.9040700299506187,156.9213174658725,173.2742326684292,189.76782086967623,-14.09743505540638,41.01673669261288,602.7608094420932,0.89888,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S170823_pyring_DS_1mode_10M.h5,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S170823_pyring_Kerr_220_0M.h5
S190408an,exploratory_only,expansion_after_smoke,residual_220_unpaired_composition,unpaired_same_event,True,True,Momega_R=1.5251-1.1568*(1-chi)^0.1292; f_Hz=32314*Momega_R/Mf,42,50000,64930,58366,46.080904739772556,464.24957138806366,966.452250492258,0.0012561766156103022,0.010414097983416283,0.042567169725894964,42.101303875932494,56.523309210863296,76.39728140443988,0.08873572283676141,0.6212195947272138,0.9191538338929179,255.09316217124893,292.3191678952069,322.10277354769505,-242.3498222129284,180.1587522419554,675.1062120353391,0.7943,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190408an_pyring_DS_1mode_10M.h5,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190408an_pyring_Kerr_220_0M.h5
S190512at,exploratory_only,expansion_after_smoke,residual_220_unpaired_composition,unpaired_same_event,True,True,Momega_R=1.5251-1.1568*(1-chi)^0.1292; f_Hz=32314*Momega_R/Mf,42,50000,82962,95946,180.55331208529887,214.57552096446335,740.364455511448,0.004199486521368634,0.022924768112682868,0.046498366634895996,31.483141985965954,57.173280115386476,453.14989740439,0.06719644789882255,0.5984414998820484,0.951158743994117,32.9123215459734,314.102095427696,476.910582883633,-273.84059984360005,-79.31437852770077,474.41076068536523,0.35168,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190512at_pyring_DS_1mode_10M.h5,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190512at_pyring_Kerr_220_0M.h5
S190513bm,exploratory_only,expansion_after_smoke,residual_220_unpaired_composition,unpaired_same_event,True,True,Momega_R=1.5251-1.1568*(1-chi)^0.1292; f_Hz=32314*Momega_R/Mf,42,50000,76993,74642,169.16025256905914,278.158010655261,757.8711224356567,0.0013473601116289874,0.006094532334429085,0.028641335853393388,61.6257761255993,87.65051586068942,115.92102619472743,0.19842271687745733,0.7383753863378765,0.9350153395607647,181.56723932086936,203.57698660003138,230.00686992003406,-41.66458722634191,77.32695649212124,565.8575973235438,0.8355,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190513bm_pyring_DS_1mode_10M.h5,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190513bm_pyring_Kerr_220_0M.h5
S190519bj,exploratory_only,expansion_after_smoke,residual_220_unpaired_composition,unpaired_same_event,True,True,Momega_R=1.5251-1.1568*(1-chi)^0.1292; f_Hz=32314*Momega_R/Mf,42,50000,66389,72955,109.18921872929164,126.01245044093994,136.66162725773904,0.005664967404876018,0.009702479905910668,0.018830487575904366,147.76694350203303,171.8943317490804,194.71546741201993,0.684081220208316,0.8533949661570843,0.9327046670675381,107.10151663686406,117.4798952690218,124.63825576176566,-9.505999314402299,8.73012232493322,23.155867363597,0.82044,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190519bj_pyring_DS_1mode_10M.h5,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190519bj_pyring_Kerr_220_0M.h5
S190521g,exploratory_only,expansion_after_smoke,residual_220_unpaired_composition,unpaired_same_event,True,True,Momega_R=1.5251-1.1568*(1-chi)^0.1292; f_Hz=32314*Momega_R/Mf,42,50000,59966,64861,61.59582430389112,64.92123660307357,67.969698868161,0.01470600546661877,0.022313505602383245,0.03470441297876015,331.61779614934665,363.88772666415906,395.1121674368424,0.8818365640581662,0.9352499221091832,0.9653490084036661,61.41371211471766,63.31497359342711,65.04769717530074,-2.136997795647493,1.606164064263556,5.232248870293494,0.76614,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190521g_pyring_DS_1mode_10M.h5,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190521g_pyring_Kerr_220_0M.h5
S190602aq,exploratory_only,expansion_after_smoke,residual_220_unpaired_composition,unpaired_same_event,True,True,Momega_R=1.5251-1.1568*(1-chi)^0.1292; f_Hz=32314*Momega_R/Mf,42,50000,66773,69258,73.45305787121075,96.72912873289926,108.78515368614411,0.00491833948211251,0.008829730849420557,0.02145790736308215,160.20937265602137,195.14007361734002,226.12254305548376,0.45395506371682626,0.762794869301864,0.8992136988537811,85.48340360047214,93.88153396838872,100.93124877274694,-20.96076914874518,2.4096197888270225,17.574293220163387,0.59158,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190602aq_pyring_DS_1mode_10M.h5,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190602aq_pyring_Kerr_220_0M.h5
S190706ai,exploratory_only,expansion_after_smoke,residual_220_unpaired_composition,unpaired_same_event,True,True,Momega_R=1.5251-1.1568*(1-chi)^0.1292; f_Hz=32314*Momega_R/Mf,42,50000,59749,87132,97.52601879741032,109.19558984881213,116.05173011243356,0.007028121037475594,0.01954577174368658,0.0450247328831923,154.64215365237348,196.39123752691964,232.9494664469535,0.37104972272935216,0.8378078718347417,0.9620726625534064,85.29098651837788,102.23761867257478,109.6216089668404,-5.625773444194183,7.099036846781836,25.7557389584174,0.84012,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190706ai_pyring_DS_1mode_10M.h5,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190706ai_pyring_Kerr_220_0M.h5
